sci_name,body mass
Nyctophilus gouldi,
Nyctophilus geoffroyi,
Nyctophilus daedalus,
Nyctophilus corbeni,
Nyctophilus bifax,
Nyctophilus arnhemensis,
Nyctomys sumichrasti,
Nyctinomops macrotis,
Nyctinomops laticaudatus,
Nyctinomops femorosaccus,
Nyctinomops aurispinosus,
Nyctimene wrightae,
Nyctimene vizcaccia,
Nyctimene varius,
Nyctimene sanctacrucis,
Nyctimene robinsoni,
Nyctimene rabori,
Nyctimene masalai,
Nyctimene malaitensis,
Nyctimene major,
Nyctimene keasti,
Nyctimene draconilla,
Nyctimene cyclotis,
Nyctimene certans,
Nyctimene cephalotes,
Nyctimene albiventer,
Nyctimene aello,
Nyctiellus lepidus,
Nycticeius humeralis,
Nycticeius cubanus,
Nycticeinops schlieffeni,
Nycticebus menagensis,
Nycticebus kayan,
Nycticebus javanicus,
Nycticebus hilleri,
Nycticebus borneanus,
Nycticebus bengalensis,
Nycticebus bancanus,
Nycteris woodi,
Nycteris vinsoni,
Nycteris tragata,
Nycteris thebaica,
Nycteris parisii,
Nycteris nana,
Nycteris major,
Nycteris madagascariensis,
Nycteris macrotis,
Nycteris javanica,
Nycteris intermedia,
Nycteris hispida,
Nycteris grandis,
Nycteris gambiensis,
Nycteris aurita,
Nyctereutes procyonoides,
Nyctalus plancyi,
Nyctalus montanus,
Nyctalus leisleri,
Nyctalus lasiopterus,
Nyctalus furvus,
Nyctalus azoreum,
Nyctalus aviator,
Notoryctes typhlops,
Notopteris neocaledonicus,
Notopteris macdonaldii,
Notomys mitchellii,
Notomys fuscus,
Notomys cervinus,
Notomys aquilo,
Notomys alexis,
Notocitellus annulatus,
Notocitellus adocetus,
Notiosorex villai,
Notiosorex evotis,
Notiosorex crawfordi,
Notiosorex cockrumi,
Notiomys edwardsii,
Nothocricetulus migratorius,
Notamacropus rufogriseus,
Notamacropus parryi,
Notamacropus parma,
Notamacropus irma,
Notamacropus eugenii,
Notamacropus dorsalis,
Notamacropus agilis,
Nomascus siki,
Nomascus nasutus,
Nomascus leucogenys,
Nomascus hainanus,
Nomascus gabriellae,
Nomascus concolor,
Nomascus annamensis,
Noctilio albiventris,
Niviventer tenaster,
Niviventer rapit,
Niviventer niviventer,
Niviventer lepturus,
Niviventer langbianis,
Niviventer hinpoon,
Niviventer fulvescens,
Niviventer fraternus,
Niviventer excelsior,
Niviventer eha,
Niviventer culturatus,
Niviventer cremoriventer,
Niviventer coninga,
Niviventer confucianus,
Niviventer cameroni,
Niviventer brahma,
Niviventer andersoni,
Ningaui timealeyi,
Nilgiritragus hylocrius,
Neusticomys ferreirai,
Nesotragus moschatus,
Nesoryzomys swarthi,
Nesoryzomys narboroughi,
Nesoryzomys fernandinae,
Nesoryzomys darwini,
Nesoromys ceramicus,
Nesonycteris woodfordi,
Nesonycteris fardoulisi,
Nesomys rufus,
Nesomys lambertoni,
Nesomys audeberti,
Nesolagus timminsi,
Nesolagus netscheri,
Nesokia indica,
Nephelomys meridensis,
Nephelomys levipes,
Nephelomys keaysi,
Nephelomys devius,
Nephelomys caracolus,
Nephelomys auriventer,
Nephelomys albigularis,
Neotragus pygmaeus,
Neotragus batesi,
Neotomodon alstoni,
Neotoma stephensi,
Neotoma phenax,
Neotoma palatina,
Neotoma nelsoni,
Neotoma micropus,
Neotoma mexicana,
Neotoma magister,
Neotoma macrotis,
Neotoma leucodon,
Neotoma lepida,
Neotoma insularis,
Neotoma goldmani,
Neotoma fuscipes,
Neotoma floridana,
Neotoma devia,
Neotoma cinerea,
Neotoma chrysomelas,
Neotoma bryanti,
Neotoma angustapalata,
Neotoma albigula,
Neotetracus sinensis,
Neotamias umbrinus,
Neotamias townsendii,
Neotamias speciosus,
Neotamias sonomae,
Neotamias siskiyou,
Neotamias senex,
Neotamias rufus,
Neotamias ruficaudus,
Neotamias quadrivittatus,
Neotamias quadrimaculatus,
Neotamias panamintinus,
Neotamias palmeri,
Neotamias ochrogenys,
Neotamias obscurus,
Neotamias minimus,
Neotamias merriami,
Neotamias durangae,
Neotamias dorsalis,
Neotamias cinereicollis,
Neotamias canipes,
Neotamias bulleri,
Neotamias amoenus,
Neotamias alpinus,
Neoromicia zuluensis,
Neoromicia tenuipinnis,
Neoromicia somalica,
Neoromicia roseveari,
Neoromicia robertsi,
Neoromicia rendalli,
Neoromicia nana,
Neoromicia melckorum,
Neoromicia matroka,
Neoromicia malagasyensis,
Neoromicia isabella,
Neoromicia helios,
Neoromicia guineensis,
Neoromicia flavescens,
Neoromicia capensis,
Neoromicia brunnea,
Neopteryx frosti,
Neophascogale lorentzii,
Neonycteris pusilla,
Neomicroxus latebricola,
Neomicroxus bogotensis,
Neohylomys hainanensis,
Neofelis nebulosa,
Neofelis diardi,
Neodon sikimensis,
Neodon linzhiensis,
Neodon irene,
Neodon fuscus,
Neodon forresti,
Neodon clarkei,
Nelsonia neotomodon,
Nelsonia goldmani,
Nectogale elegans,
Necromys urichi,
Necromys temchuki,
Necromys punctulatus,
Necromys obscurus,
Necromys lenguarum,
Necromys lasiurus,
Necromys lactens,
Necromys benefactus,
Necromys amoenus,
Neamblysomus julianae,
Neamblysomus gunningi,
Neacomys tenuipes,
Neacomys spinosus,
Neacomys pictus,
Neacomys paracou,
Neacomys musseri,
Neacomys minutus,
Neacomys guianae,
Neacomys dubosti,
Natalus stramineus,
Natalus primus,
Natalus mexicanus,
Natalus major,
Natalus jamaicensis,
Natalus espiritosantensis,
Nasuella olivacea,
Nasuella meridensis,
Nasua nasua,
Nasalis larvatus,
Napaeozapus insignis,
Nanonycteris veldkampii,
Nannospalax xanthodon,
Nannospalax leucodon,
Nannospalax ehrenbergi,
Nannosciurus melanotis,
Nanger soemmerringii,
Nanger granti,
Nanger dama,
Nandinia binotata,
Naemorhedus goral,
Naemorhedus caudatus,
Naemorhedus baileyi,
Myzopoda schliemanni,
Myzopoda aurita,
Mystacina tuberculata,
Mystacina robusta,
Mysateles prehensilis,
Mysateles melanurus,
Myotis yumanensis,
Myotis yanbarensis,
Myotis welwitschii,
Myotis weberi,
Myotis volans,
Myotis vivesi,
Myotis velifer,
Myotis tricolor,
Myotis thysanodes,
Myotis stalkeri,
Myotis soror,
Myotis sodalis,
Myotis simus,
Myotis siligorensis,
Myotis sicarius,
Myotis sibiricus,
Myotis septentrionalis,
Myotis secundus,
Myotis scotti,
Myotis schaubi,
Myotis rufopictus,
Myotis rufoniger,
Myotis ruber,
Myotis rosseti,
Myotis riparius,
Myotis ridleyi,
Myotis punicus,
Myotis pruinosus,
Myotis planiceps,
Myotis pilosus,
Myotis peytoni,
Myotis petax,
Myotis pequinius,
Myotis peninsularis,
Myotis oxyotus,
Myotis oreias,
Myotis occultus,
Myotis nyctor,
Myotis nipalensis,
Myotis nimbaensis,
Myotis nesopolus,
Myotis muricola,
Myotis morrisi,
Myotis montivagus,
Myotis moluccarum,
Myotis melanorhinus,
Myotis martiniquensis,
Myotis macrotarsus,
Myotis macropus,
Myotis macrodactylus,
Myotis lucifugus,
Myotis longipes,
Myotis longicaudatus,
Myotis levis,
Myotis leibii,
Myotis lavali,
Myotis laniger,
Myotis keenii,
Myotis keaysi,
Myotis izecksohni,
Myotis insularum,
Myotis indochinensis,
Myotis ikonnikovi,
Myotis horsfieldii,
Myotis hermani,
Myotis hasseltii,
Myotis grisescens,
Myotis goudoti,
Myotis gomantongensis,
Myotis frater,
Myotis fortidens,
Myotis formosus,
Myotis findleyi,
Myotis fimbriatus,
Myotis federatus,
Myotis evotis,
Myotis escalerai,
Myotis emarginatus,
Myotis elegans,
Myotis dominicensis,
Myotis dinellii,
Myotis diminutus,
Myotis dieteri,
Myotis davidii,
Myotis daubentonii,
Myotis csorbai,
Myotis crypticus,
Myotis cobanensis,
Myotis ciliolabrum,
Myotis chinensis,
Myotis chiloensis,
Myotis capaccinii,
Myotis californicus,
Myotis bucharensis,
Myotis brandtii,
Myotis borneoensis,
Myotis bombinus,
Myotis bocagii,
Myotis blythii,
Myotis bechsteinii,
Myotis badius,
Myotis austroriparius,
Myotis australis,
Myotis auriculus,
Myotis aurascens,
Myotis ater,
Myotis atacamensis,
Myotis annectans,
Myotis annatessae,
Myotis annamiticus,
Myotis anjouanensis,
Myotis altarium,
Myotis alcathoe,
Myotis albescens,
Myotis aelleni,
Myotis adversus,
Myospalax psilurus,
Myospalax myospalax,
Myospalax aspalax,
Myosorex zinki,
Myosorex varius,
Myosorex tenuis,
Myosorex sclateri,
Myosorex schalleri,
Myosorex rumpii,
Myosorex okuensis,
Myosorex meesteri,
Myosorex longicaudatus,
Myosorex kihaulei,
Myosorex kabogoensis,
Myosorex jejei,
Myosorex gnoskei,
Myosorex geata,
Myosorex eisentrauti,
Myosorex cafer,
Myosorex bururiensis,
Myosorex blarina,
Myosorex babaulti,
Myosciurus pumilio,
Myopterus whitleyi,
Myopterus daubentonii,
Myoprocta pratti,
Myonycteris torquata,
Myonycteris relicta,
Myonycteris leptodon,
Myonycteris brachycephala,
Myonycteris angolensis,
Myomyscus yemeni,
Myomyscus verreauxii,
Myomyscus brockmani,
Myomyscus angolensis,
Myomimus setzeri,
Myomimus roachi,
Myomimus personatus,
Myoictis wavicus,
Myoictis wallacei,
Myoictis leucura,
Myocastor coypus,
Mylomys rex,
Mylomys dybowskii,
Mydaus javanensis,
Mustela tonkinensis,
Mustela subpalmata,
Mustela strigidorsa,
Mustela sibirica,
Mustela russelliana,
Mustela nudipes,
Mustela nivalis,0.2
Mustela nigripes,
Mustela lutreolina,
Mustela kathiah,
Mustela itatsi,
Mustela frenata,
Mustela felipei,
Mustela eversmanii,
Mustela altaica,
Mustela africana,
Musseromys inopinatus,
Musseromys gulantang,
Musseromys beneficus,
Musseromys anacuao,
Musonycteris harrisoni,
Mus vulcani,
Mus triton,
Mus terricolor,
Mus tenellus,
Mus spretus,
Mus spicilegus,
Mus sorella,
Mus shortridgei,
Mus setzeri,
Mus setulosus,
Mus saxicola,
Mus platythrix,
Mus phillipsi,
Mus pahari,
Mus oubanguii,
Mus neavei,
Mus musculoides,
Mus minutoides,
Mus mayori,
Mus mattheyi,
Mus mahomet,
Mus macedonicus,
Mus indutus,
Mus haussa,
Mus goundae,
Mus fragilicauda,
Mus fernandoni,
Mus famulus,
Mus cypriacus,
Mus crociduroides,
Mus cookii,
Mus cervicolor,
Mus caroli,
Mus callewaerti,
Mus bufo,
Mus booduga,
Mus baoulei,
Murina walstoni,
Murina ussuriensis,
Murina tubinaris,
Murina tenebrosa,
Murina suilla,
Murina shuipuensis,
Murina ryukyuana,
Murina rozendaali,
Murina recondita,
Murina puta,
Murina lorelieae,
Murina leucogaster,
Murina huttoni,
Murina hilgendorfi,
Murina harrisoni,
Murina harpioloides,
Murina gracilis,
Murina fusca,
Murina florium,
Murina fionae,
Murina feae,
Murina eleryi,
Murina cyclotis,
Murina chrysochaetes,
Murina bicolor,
Murina beelzebub,
Murina balaensis,
Murina aurata,
Murina annamitica,
Murina aenea,
Muriculus imberbis,
Murexia naso,
Murexia melanurus,
Murexia habbema,
Muntiacus vuquangensis,
Muntiacus vaginalis,
Muntiacus truongsonensis,
Muntiacus rooseveltorum,
Muntiacus reevesi,
Muntiacus putaoensis,
Muntiacus puhoatensis,
Muntiacus muntjak,
Muntiacus montanus,
Muntiacus gongshanensis,
Muntiacus feae,
Muntiacus crinifrons,
Muntiacus atherodes,
Mungotictis decemlineata,
Mungos gambianus,
Mosia nigrescens,
Moschus moschiferus,
Moschus leucogaster,
Moschus fuscus,
Moschus cupreus,
Moschus chrysogaster,
Moschus berezovskii,
Moschus anhuiensis,
Mormopterus phrudus,
Mormopterus minutus,
Mormopterus kalinowskii,
Mormopterus jugularis,
Mormopterus francoismoutoui,
Mormopterus doriae,
Mormopterus acetabulosus,
Mormoops blainvillei,
Mops trevori,
Mops tomensis,
Mops thersites,
Mops spurrelli,
Mops solomonis,
Mops sarasinorum,
Mops russatus,
Mops pusillus,
Mops pumilus,
Mops plicatus,
Mops petersoni,
Mops niveiventer,
Mops nigeriae,
Mops niangarae,
Mops nanulus,
Mops mops,
Mops midas,
Mops major,
Mops leucostigma,
Mops leucogaster,
Mops johorensis,
Mops jobimena,
Mops jobensis,
Mops gallagheri,
Mops demonstrator,
Mops congicus,
Mops condylurus,
Mops chapini,
Mops bregullae,
Mops brachypterus,
Mops bivittatus,
Mops bemmeleni,
Mops bakarii,
Mops atsinanana,
Mops ansorgei,
Mops aloysiisabaudiae,
Monticolomys koopmani,
Monophyllus redmani,
Monophyllus plethodon,
Monodelphis unistriata,
Monodelphis scalops,
Monodelphis ronaldi,
Monodelphis reigi,
Monodelphis peruviana,
Monodelphis palliolata,
Monodelphis osgoodi,
Monodelphis kunsi,
Monodelphis iheringi,
Monodelphis handleyi,
Monodelphis glirina,
Monodelphis emiliae,
Monodelphis domestica,
Monodelphis dimidiata,
Monodelphis americana,
Monodelphis adusta,
Molossus sinaloae,
Molossus rufus,
Molossus pretiosus,
Molossus molossus,
Molossus currentium,
Molossus coibensis,
Molossus bondae,
Molossus aztecus,
Molossus alvarezi,
Molossops temminckii,
Molossops neglectus,
Molossops mattogrossensis,
Molossops aequatorianus,
Mogera wogura,
Mogera uchidai,
Mogera tokudae,
Mogera robusta,
Mogera insularis,
Mogera imaizumii,
Mogera etigo,
Mirzamys norahae,
Mirzamys louiseae,
Mirza zaza,
Mirza coquereli,
Mirimiri acrodonta,
Miopithecus talapoin,
Miopithecus ogouensis,
Miniopterus tristis,
Miniopterus sororculus,
Miniopterus shortridgei,
Miniopterus robustior,
Miniopterus pusillus,
Miniopterus petersoni,
Miniopterus paululus,
Miniopterus pallidus,
Miniopterus newtoni,
Miniopterus natalensis,
Miniopterus minor,
Miniopterus medius,
Miniopterus manavi,
Miniopterus majori,
Miniopterus mahafaliensis,
Miniopterus magnater,
Miniopterus maghrebensis,
Miniopterus macrocneme,
Miniopterus inflatus,
Miniopterus griveaudi,
Miniopterus griffithsi,
Miniopterus gleni,
Miniopterus fuscus,
Miniopterus fraterculus,
Miniopterus egeri,
Miniopterus brachytragos,
Miniopterus australis,
Miniopterus ambohitrensis,
Miniopterus africanus,
Miniopterus aelleni,
Mindomys hammondi,
Mimon cozumelae,
Mimon bennettii,
Mimetillus moloneyi,
Millardia meltada,
Millardia kondana,
Millardia kathleenae,
Millardia gleadowi,
Microtus umbrosus,
Microtus transcaspicus,
Microtus townsendii,
Microtus thomasi,
Microtus tatricus,
Microtus subterraneus,
Microtus socialis,
Microtus schidlovskii,
Microtus schelkovnikovi,
Microtus savii,
Microtus quasiater,
Microtus qazvinensis,
Microtus paradoxus,
Microtus oregoni,
Microtus ochrogaster,
Microtus oaxacensis,
Microtus nasarovi,
Microtus mystacinus,
Microtus multiplex,
Microtus miurus,
Microtus mexicanus,
Microtus majori,
Microtus lusitanicus,
Microtus liechtensteini,
Microtus kermanensis,
Microtus juldaschi,
Microtus irani,
Microtus ilaeus,
Microtus hyperboreus,
Microtus guentheri,
Microtus guatemalensis,
Microtus gerbii,
Microtus felteni,
Microtus elbeyli,
Microtus duodecimcostatus,
Microtus dogramacii,
Microtus daghestanicus,
Microtus chrotorrhinus,
Microtus canicaudus,
Microtus californicus,
Microtus cabrerae,
Microtus bucharensis,
Microtus brachycercus,
Microtus bavaricus,
Microtus arvalis,
Microtus anatolicus,
Microtus agrestis,
Microtus afghanus,
Microtus abbreviatus,
Microsciurus santanderensis,
Microsciurus mimulus,
Microsciurus flaviventer,
Microsciurus alfari,
Microryzomys minutus,
Microryzomys altissimus,
Microperoryctes papuensis,
Microperoryctes murina,
Microperoryctes aplini,
Micronycteris yatesi,
Micronycteris schmidtorum,
Micronycteris sanborni,
Micronycteris minuta,
Micronycteris microtis,
Micronycteris megalotis,
Micronycteris matses,
Micronycteris hirsuta,
Micronycteris giovanniae,
Micronycteris buriri,
Micronycteris brosseti,
Micronomus norfolkensis,
Micromys minutus,
Microhydromys richardsoni,
Microhydromys argenteus,
Microgale thomasi,
Microgale talazaci,
Microgale taiva,
Microgale soricoides,
Microgale pusilla,
Microgale principula,
Microgale parvula,
Microgale nasoloi,
Microgale monticola,
Microgale majori,
Microgale longicaudata,
Microgale jobihely,
Microgale jenkinsae,
Microgale gymnorhyncha,
Microgale grandidieri,
Microgale gracilis,
Microgale fotsifotsy,
Microgale dryas,
Microgale drouhardi,
Microgale brevicaudata,
Microdipodops pallidus,
Microdipodops megacephalus,
Microdillus peeli,
Microcebus tavaratra,
Microcebus tanosi,
Microcebus simmonsi,
Microcebus sambiranensis,
Microcebus rufus,
Microcebus ravelobensis,
Microcebus myoxinus,
Microcebus marohita,
Microcebus margotmarshae,
Microcebus manitatra,
Microcebus mamiratra,
Microcebus macarthurii,
Microcebus lehilahytsara,
Microcebus jonahi,
Microcebus jollyae,
Microcebus griseorufus,
Microcebus gerpi,
Microcebus ganzhorni,
Microcebus danfossi,
Microcebus boraha,
Microcebus bongolavensis,
Microcebus berthae,
Microcebus arnholdi,
Microcavia shiptoni,
Microcavia niata,
Microcavia australis,
Microakodontomys transitorius,
Mico schneideri,
Mico saterei,
Mico rondoni,
Mico nigriceps,
Mico munduruku,
Mico melanurus,
Mico mauesi,
Mico marcai,
Mico leucippe,
Mico intermedius,
Mico humeralifer,
Mico emiliae,
Mico chrysoleucos,
Mico argentatus,
Mico acariensis,
Micaelamys namaquensis,
Micaelamys granti,
Mesophylla macconnelli,
Mesomys stimulax,
Mesomys occultus,
Mesomys leniceps,
Mesocricetus raddei,
Mesocricetus newtoni,
Mesocricetus brandti,
Mesocricetus auratus,
Mesocapromys sanfelipensis,
Mesocapromys nanus,
Mesocapromys auritus,
Mesocapromys angelcabrerai,
Mesembriomys macrurus,
Mesembriomys gouldii,
Mesechinus hughi,
Meriones zarudnyi,
Meriones vinogradovi,
Meriones tristrami,
Meriones tamariscinus,
Meriones shawi,
Meriones sacramenti,
Meriones rex,
Meriones persicus,
Meriones meridianus,
Meriones libycus,
Meriones hurrianae,
Meriones grandis,
Meriones dahli,
Meriones crassus,
Meriones chengi,
Meriones arimalius,
Mephitis macroura,
Menetes berdmorei,
Melursus ursinus,
Melonycteris melanops,
Melomys talaudium,
Melomys rufescens,
Melomys rubicola,
Melomys paveli,
Melomys obiensis,
Melomys matambuai,
Melomys lutillus,
Melomys leucogaster,
Melomys howi,
Melomys fulgens,
Melomys frigicola,
Melomys fraterculus,
Melomys dollmani,
Melomys cooperae,
Melomys cervinipes,
Melomys caurinus,
Melomys capensis,
Melomys burtoni,
Melomys bougainville,
Melomys bannisteri,
Melomys arcium,
Melomys aerosus,
Melogale personata,
Melogale orientalis,
Melogale moschata,
Melogale everetti,
Melogale cucphuongensis,
Meles meles,
Meles leucurus,13
Meles anakuma,
Melasmothrix naso,
Melanomys zunigae,
Melanomys robustulus,
Melanomys caliginosus,
Megasorex gigas,
Megaloglossus woermanni,
Megaloglossus azagnyi,
Megaerops wetmorei,
Megaerops niphanae,
Megaerops kusnotoi,
Megaerops ecaudatus,
Megadontomys thomasi,
Megadontomys nelsoni,
Megadontomys cryophilus,
Megaderma spasma,
Megadendromus nikolausi,
Mazama temama,
Mazama rufina,
Mazama pandora,
Mazama nemorivaga,
Mazama nana,
Mazama gouazoubira,
Mazama chunyi,
Mazama bricenii,
Mazama bororo,
Mazama americana,
Maxomys whiteheadi,
Maxomys wattsi,
Maxomys tajuddinii,
Maxomys surifer,
Maxomys rajah,
Maxomys panglima,
Maxomys pagensis,
Maxomys ochraceiventer,
Maxomys musschenbroekii,
Maxomys moi,
Maxomys inflatus,
Maxomys inas,
Maxomys hylomyoides,
Maxomys hellwaldii,
Maxomys dollmani,
Maxomys bartelsii,
Maxomys baeodon,
Maxomys alticola,
Mastomys shortridgei,
Mastomys pernanus,
Mastomys natalensis,
Mastomys kollmannspergeri,
Mastomys huberti,
Mastomys erythroleucus,
Mastomys awashensis,
Mastacomys fuscus,
Massoutiera mzabi,
Martes zibellina,
Martes pennanti,
Martes melampus,
Martes martes,
Martes gwatkinsii,
Martes foina,
Martes flavigula,
Marmota vancouverensis,
Marmota olympus,
Marmota monax,
Marmota menzbieri,
Marmota marmota,
Marmota himalayana,
Marmota flaviventris,
Marmota caudata,
Marmota camtschatica,
Marmota caligata,
Marmota broweri,
Marmota bobak,
Marmota baibacina,
Marmosops pinheiroi,
Marmosops paulensis,
Marmosops parvidens,
Marmosops pakaraimae,
Marmosops ocellatus,
Marmosops noctivagus,
Marmosops neblina,
Marmosops juninensis,
Marmosops invictus,
Marmosops incanus,
Marmosops impavidus,
Marmosops handleyi,
Marmosops fuscatus,
Marmosops creightoni,
Marmosops cracens,
Marmosops caucae,
Marmosops bishopi,
Marmosa xerophila,
Marmosa tyleriana,
Marmosa robinsoni,
Marmosa regina,
Marmosa quichua,
Marmosa phaea,
Marmosa paraguayana,
Marmosa lepida,
Marmosa demerarae,
Marmosa constantiae,
Marmosa andersoni,
Marmosa alstoni,
Margaretamys parvus,
Margaretamys elegans,
Margaretamys christinae,
Margaretamys beccarii,
Manis culionensis,
Manis crassicaudata,
Mandrillus leucophaeus,
Mammelomys rattoides,
Mammelomys lanosus,
Mallomys rothschildi,
Mallomys istapantap,
Mallomys gunung,
Mallomys aroaensis,
Malacothrix typica,
Malacomys longipes,
Malacomys edwardsi,
Malacomys cansdalei,
Madromys blanfordi,
Madoqua saltiana,
Madoqua piacentinii,
Madoqua guentheri,
Macruromys major,
Macruromys elegans,
Macrotus waterhousii,
Macrotus californicus,
Macrotarsomys petteri,
Macrotarsomys ingens,
Macrotarsomys bastardi,
Macroscelides micus,
Macroscelides flavicaudatus,
Macrophyllum macrophyllum,
Macronycteris vittatus,
Macronycteris thomensis,
Macronycteris gigas,
Macronycteris commersonii,
Macroglossus sobrinus,
Macroglossus minimus,
Macrogalidia musschenbroekii,
Macaca tonkeana,
Macaca thibetana,
Macaca sylvanus,
Macaca sinica,
Macaca silenus,
Macaca siberu,
Macaca radiata,
Macaca pagensis,
Macaca ochreata,
Macaca nigrescens,
Macaca nigra,
Macaca munzala,
Macaca leucogenys,
Macaca hecki,
Macaca fuscata,
Macaca cyclopis,
Macaca brunnescens,
Lyroderma lyra,
Lynx rufus,
Lynx pardinus,
Lynx lynx,22
Lynx canadensis,
Lyncodon patagonicus,
Lycaon pictus,
Lycalopex vetulus,
Lycalopex sechurae,
Lycalopex gymnocercus,
Lycalopex griseus,
Lycalopex fulvipes,
Lycalopex culpaeus,
Lutreolina massoia,
Lutreolina crassicaudata,
Loxodontomys pikumche,
Loxodontomys micropus,
Loxodonta cyclotis,2700
Loxodonta africana,6000
Loris lydekkerianus,
Lorentzimys nouhuysi,
Lophuromys woosnami,
Lophuromys stanleyi,
Lophuromys simensis,
Lophuromys sikapusi,
Lophuromys sabunii,
Lophuromys roseveari,
Lophuromys rahmi,
Lophuromys pseudosikapusi,
Lophuromys nudicaudus,
Lophuromys menageshae,
Lophuromys melanonyx,
Lophuromys medicaudatus,
Lophuromys makundii,
Lophuromys machangui,
Lophuromys luteogaster,
Lophuromys kilonzoi,
Lophuromys huttereri,
Lophuromys flavopunctatus,
Lophuromys eisentrauti,
Lophuromys dieterleni,
Lophuromys cinereus,
Lophuromys chrysopus,
Lophuromys chercherensis,
Lophuromys brevicaudus,
Lophostoma silvicolum,
Lophostoma schulzi,
Lophostoma occidentalis,
Lophostoma kalkoae,
Lophostoma evotis,
Lophostoma carrikeri,
Lophostoma brasiliense,
Lophocebus aterrimus,
Lophocebus albigena,
Lophiomys imhausi,
Lonchothrix emiliae,
Lonchorhina orinocensis,
Lonchorhina marinkellei,
Lonchorhina inusitata,
Lonchorhina fernandezi,
Lonchorhina aurita,
Lonchophylla thomasi,
Lonchophylla robusta,
Lonchophylla peracchii,
Lonchophylla pattoni,
Lonchophylla orienticollina,
Lonchophylla orcesi,
Lonchophylla mordax,
Lonchophylla hesperia,
Lonchophylla handleyi,
Lonchophylla fornicata,
Lonchophylla dekeyseri,
Lonchophylla concava,
Lonchophylla chocoana,
Lonchophylla cadenai,
Lonchophylla bokermanni,
Litocranius walleri,
Lionycteris spurrelli,
Limnomys sibuanus,
Limnomys bryophilus,
Lichonycteris obscura,
Lichonycteris degener,
Liberiictis kuhni,
Lestoros inca,
Lestodelphys halli,
Lepus yarkandensis,
Lepus victoriae,
Lepus townsendii,
Lepus tolai,
Lepus timidus,3.6
Lepus tibetanus,
Lepus starcki,
Lepus sinensis,
Lepus saxatilis,
Lepus peguensis,
Lepus othus,
Lepus oiostolus,
Lepus nigricollis,
Lepus mandshuricus,
Lepus insularis,
Lepus hainanus,
Lepus habessinicus,
Lepus granatensis,
Lepus flavigularis,
Lepus fagani,
Lepus europaeus,
Lepus corsicanus,
Lepus coreanus,
Lepus comus,
Lepus castroviejoi,
Lepus callotis,
Lepus californicus,
Lepus brachyurus,
Lepus americanus,
Lepus alleni,
Leptonycteris yerbabuenae,
Leptonycteris nivalis,
Leptomys signatus,
Leptomys paulus,
Leptomys ernstmayri,
Leptomys elegans,
Leptomys arfakensis,
Leporillus conditor,
Leporillus apicalis,
Lepilemur wrightae,
Lepilemur tymerlachsoni,
Lepilemur septentrionalis,
Lepilemur seali,
Lepilemur scottorum,
Lepilemur sahamalaza,
Lepilemur randrianasoloi,
Lepilemur petteri,
Lepilemur otto,
Lepilemur mustelinus,
Lepilemur milanoii,
Lepilemur microdon,
Lepilemur leucopus,
Lepilemur jamesorum,
Lepilemur hubbardorum,
Lepilemur hollandorum,
Lepilemur grewcockorum,
Lepilemur fleuretae,
Lepilemur edwardsi,
Lepilemur dorsalis,
Lepilemur betsileo,
Lepilemur ankaranensis,
Lepilemur ahmansoni,
Lepilemur aeeclis,
Leopoldamys siporanus,
Leopoldamys sabanus,
Leopoldamys neilli,
Leopoldamys milleti,
Leopoldamys edwardsi,
Leopoldamys diwangkarai,
Leopoldamys ciliatus,
Leopardus wiedii,
Leopardus tigrinus,
Leopardus pardalis,
Leopardus jacobita,
Leopardus guttulus,
Leopardus guigna,
Leopardus geoffroyi,
Leopardus colocolo,
Leontopithecus chrysopygus,
Leontopithecus chrysomelas,
Leontopithecus caissara,
Leontocebus weddelli,
Leontocebus tripartitus,
Leontocebus nigrifrons,
Leontocebus nigricollis,
Leontocebus leucogenys,
Leontocebus lagonotus,
Leontocebus illigeri,
Leontocebus fuscus,
Leontocebus fuscicollis,
Leontocebus cruzlimai,
Lenoxus apicalis,
Lenothrix canus,
Lenomys meyeri,
Lemniscomys zebra,
Lemniscomys striatus,
Lemniscomys roseveari,
Lemniscomys rosalia,
Lemniscomys mittendorfi,
Lemniscomys macculus,
Lemniscomys linulus,
Lemniscomys hoogstraali,
Lemniscomys griselda,
Lemniscomys bellieri,
Lemniscomys barbarus,
Lemmus portenkoi,
Lemmus amurensis,
Lemmiscus curtatus,
Leimacomys buettneri,
Leggadina lakedownensis,
Leggadina forresti,
Lavia frons,
Latidens salimalii,
Lasiurus xanthinus,
Lasiurus varius,
Lasiurus seminolus,
Lasiurus salinae,
Lasiurus pfeifferi,
Lasiurus minor,
Lasiurus intermedius,
Lasiurus insularis,
Lasiurus egregius,
Lasiurus ega,
Lasiurus ebenus,
Lasiurus degelidus,
Lasiurus cinereus,0.026
Lasiurus castaneus,
Lasiurus borealis,
Lasiurus blossevillii,
Lasiurus atratus,
Lasiorhinus krefftii,
Lasiopodomys mandarinus,
Lasiopodomys gregalis,
Lasiopodomys brandtii,
Lasionycteris noctivagans,
Lariscus obscurus,
Lariscus niobe,
Lariscus insignis,
Lariscus hosei,
Laonastes aenigmamus,
Lampronycteris brachyotis,
Lamottemys okuensis,
Lama guanicoe,115
Lagurus lagurus,
Lagothrix flavicauda,
Lagostomus maximus,
Lagidium wolffsohni,
Lagidium ahuacaense,
Laephotis wintoni,
Laephotis namibensis,
