sci_name,body mass
Planigale gilesi,
Natalus tumidirostris,
Sorex minutus,0.004
Peropteryx macrotis,
Myotis nigricans,
Rhynchonycteris naso,
Planigale ingrami,
Ningaui ridei,
Myotis mystacinus,
Planigale tenuirostris,
Zyzomys woodwardi,
Zyzomys pedunculatus,
Zyzomys palatalis,
Zyzomys maini,
Zyzomys argurus,
Zygogeomys trichopus,
Zygodontomys brunneus,
Zygodontomys brevicauda,
Zenkerella insignis,
Zelotomys woosnami,
Zelotomys hildegardeae,
Zapus trinotatus,
Zapus princeps,
Zaglossus bruijnii,
Zaglossus bartoni,
Zaglossus attenboroughi,
Xerus rutilus,
Xerus princeps,
Xerus inauris,
Xerus erythropus,
Xerospermophilus tereticaudus,
Xerospermophilus spilosoma,
Xerospermophilus perotensis,
Xerospermophilus mohavensis,
Xeronycteris vieirai,
Xenuromys barbatus,
Xenothrix mcgregori,
Xenomys nelsoni,
Wilfredomys oenax,
Wiedomys pyrrhorhinos,
Wiedomys cerradensis,
Vulpes velox,
Vulpes rueppellii,
Vulpes pallida,
Vulpes macrotis,
Vulpes ferrilata,
Vulpes corsac,
Vulpes chama,
Vulpes cana,
Vulpes bengalensis,
Volemys musseri,
Volemys millicens,
Voalavo gymnocaudus,
Voalavo antsahabensis,
Viverricula indica,
Viverra zibetha,
Viverra megaspila,
Viverra civettina,
Vicugna vicugna,
Vespertilio sinensis,
Vespadelus vulturnus,
Vespadelus troughtoni,
Vespadelus regulus,
Vespadelus pumilus,
Vespadelus finlaysoni,
Vespadelus douglasorum,
Vespadelus darlingtoni,
Vespadelus caurinus,
Vespadelus baverstocki,
Vernaya fulva,
Varecia variegata,
Varecia rubra,
Vandeleuria oleracea,
Vandeleuria nolthenii,
Vandeleuria nilagirica,
Vampyrum spectrum,
Vampyrodes major,
Vampyrodes caraccioli,
Vampyriscus nymphaea,
Vampyriscus brocki,
Vampyriscus bidens,
Vampyressa thyone,
Vampyressa pusilla,
Vampyressa melissa,
Ursus thibetanus,135
Ursus americanus,140
Urotrichus talpoides,
Uropsilus soricipes,
Uropsilus investigator,
Uropsilus gracilis,
Uropsilus andersoni,
Uromys vika,
Uromys siebersi,
Uromys rex,
Uromys porculus,
Uromys neobritannicus,
Uromys imperator,
Uromys hadrourus,
Uromys emmae,
Uromys caudimaculatus,
Uromys boeadii,
Uromys anak,
Uroderma magnirostrum,
Urocyon littoralis,
Urocricetus kamensis,
Urocricetus alticola,
Urocitellus washingtoni,
Urocitellus undulatus,
Urocitellus townsendii,
Urocitellus richardsonii,
Urocitellus parryii,
Urocitellus nancyae,
Urocitellus mollis,
Urocitellus endemicus,
Urocitellus elegans,
Urocitellus columbianus,
Urocitellus canus,
Urocitellus brunneus,
Urocitellus beldingi,
Urocitellus armatus,
Uranomys ruddi,
Typhlomys cinereus,
Tympanoctomys loschalchalerosorum,
Tympanoctomys kirchnerorum,
Tympanoctomys aureus,
Tylonycteris robustula,
Tylonycteris pygmaeus,
Tylonycteris pachypus,
Tylomys watsoni,
Tylomys tumbalensis,
Tylomys panamensis,
Tylomys nudicaudus,
Tylomys mirae,
Tylomys fulviventer,
Tylomys bullaris,
Tupaia tana,
Tupaia splendidula,
Tupaia salatana,
Tupaia picta,
Tupaia palawanensis,
Tupaia nicobarica,
Tupaia montana,
Tupaia minor,
Tupaia longipes,
Tupaia hypochrysa,
Tupaia gracilis,
Tupaia ferruginea,
Tupaia everetti,
Tupaia dorsalis,
Tupaia discolor,
Tupaia chrysogaster,
Tupaia belangeri,
Tscherskia triton,
Tryphomys adustus,
Trogopterus xanthipes,
Trinycteris nicefori,
Trinomys yonenagae,
Trinomys setosus,
Trinomys paratus,
Trinomys moojeni,
Trinomys mirapitanga,
Trinomys iheringi,
Trinomys gratiosus,
